LoanID,Age,EmploymentType,EmploymentYears,City,MonthlyIncome,LoanAmount,LoanPurpose,LoanTenureMonths,InterestRate,ExistingLoans,CreditScore,LoanToIncomeRatio,Default
LN100621,32,Salaried,3,Tier-1,84352,4490370,Education,48,14.12,1,564,4.436,0
LN100622,23,Salaried,23,Tier-2,128333,2320082,Business,12,9.37,4,793,1.507,0
LN100623,35,Business Owner,29,Rural,137864,3137256,Education,60,7.25,2,853,1.896,0
LN100624,61,Business Owner,10,Metro,168333,2636455,Business,120,7.91,4,894,1.305,0
LN100625,53,Salaried,10,Tier-2,72317,3712233,Business,24,8.42,0,834,4.278,0
LN100626,32,Salaried,28,Metro,189367,635766,Business,24,20.01,2,382,0.28,1
LN100627,21,Self-Employed,13,Rural,174969,807022,Medical,36,20.23,4,541,0.384,1
LN100628,59,Salaried,22,Tier-1,182002,936953,Business,60,9.53,1,819,0.429,0
LN100629,39,Self-Employed,17,Tier-1,157451,1647708,Vehicle,60,10.16,2,690,0.872,0
LN100630,23,Business Owner,10,Rural,142045,1660209,Personal,24,9.22,0,801,0.974,0
LN100631,22,Business Owner,10,Tier-2,140921,1150972,Education,48,20.37,3,341,0.681,1
LN100632,34,Salaried,9,Tier-2,153638,1280902,Personal,24,12.74,1,696,0.695,0
LN100633,47,Salaried,27,Tier-1,176790,665789,Home,36,16.58,1,519,0.314,0
LN100634,44,Salaried,27,Tier-1,125946,177729,Medical,60,9.72,1,756,0.118,0
LN100635,39,Business Owner,14,Tier-1,78664,3828812,Education,60,21.64,4,628,4.056,1
LN100636,59,Self-Employed,24,Tier-1,75738,417422,Medical,48,11.07,1,697,0.459,0
LN100637,44,Business Owner,13,Tier-2,68581,3427722,Vehicle,120,17.24,0,407,4.165,1
LN100638,55,Self-Employed,21,Rural,169375,1685488,Personal,48,17.18,2,460,0.829,0
LN100639,54,Business Owner,0,Tier-2,62063,3328637,Personal,36,8.72,0,856,4.469,0
LN100640,55,Salaried,15,Rural,146152,2326321,Personal,60,20.08,0,430,1.326,1
LN100641,24,Salaried,29,Rural,115835,2287937,Vehicle,60,16.85,1,366,1.646,1
LN100642,50,Salaried,29,Rural,94010,4577733,Business,48,15.68,3,428,4.058,1
LN100643,34,Salaried,22,Rural,86064,3623817,Vehicle,24,17.49,2,566,3.509,1
LN100644,45,Self-Employed,2,Rural,26378,268680,Education,60,17.57,3,421,0.849,1
LN100645,51,Salaried,29,Metro,47286,2588238,Medical,120,7.02,0,895,4.561,0
LN100646,32,Salaried,10,Rural,121501,56174,Home,24,12.51,4,720,0.039,1
LN100647,36,Self-Employed,15,Metro,44062,4589936,Business,60,14.56,1,520,8.681,0
LN100648,55,Salaried,21,Tier-2,191833,3922377,Business,84,16.77,2,470,1.704,0
LN100649,26,Salaried,11,Tier-2,40627,3444813,Personal,48,20.13,4,309,7.066,1
LN100650,32,Salaried,23,Metro,52213,4230872,Business,60,17.78,2,374,6.753,0
LN100651,42,Business Owner,21,Tier-1,42350,4028694,Medical,84,19.3,2,551,7.927,0
LN100652,64,Salaried,4,Metro,158096,1736252,Vehicle,120,16.49,3,394,0.915,1
LN100653,45,Salaried,21,Tier-1,111236,2878799,Vehicle,12,7.98,4,837,2.157,0
LN100654,26,Salaried,1,Tier-2,89240,2360949,Medical,60,7.58,2,899,2.205,0
LN100655,61,Self-Employed,8,Metro,94099,4048958,Education,84,20.1,0,431,3.586,1
LN100656,58,Self-Employed,8,Metro,108851,3493825,Home,60,17.73,2,390,2.675,1
LN100657,33,Salaried,5,Tier-1,97472,1595549,Vehicle,12,15.4,0,649,1.364,0
LN100658,43,Self-Employed,23,Tier-1,93337,863453,Business,60,18.08,4,554,0.771,1
LN100659,25,Salaried,11,Rural,182755,3711644,Personal,24,8.55,0,838,1.692,0
LN100660,29,Business Owner,18,Tier-2,84279,272835,Medical,12,7.12,1,848,0.27,0
LN100661,55,Salaried,4,Tier-2,100566,1277154,Medical,120,14.79,2,514,1.058,0
LN100662,35,Self-Employed,3,Rural,31928,4906931,Medical,120,9.98,1,897,12.807,0
LN100663,42,Self-Employed,25,Tier-2,167978,1761642,Vehicle,48,10.51,2,689,0.874,0
LN100664,56,Self-Employed,4,Tier-2,86526,1413331,Education,12,15.49,2,544,1.361,0
LN100665,58,Business Owner,12,Tier-2,48263,2810576,Personal,12,7.07,0,797,4.853,0
LN100666,53,Self-Employed,4,Rural,120041,1259051,Business,36,7.55,4,840,0.874,0
LN100667,39,Self-Employed,10,Tier-1,66119,865213,Medical,36,20.92,1,365,1.09,0
LN100668,29,Salaried,10,Tier-2,78639,1070644,Education,120,9.68,4,854,1.135,1
LN100669,22,Salaried,14,Rural,15421,3132237,Business,48,8.4,4,831,16.926,1
LN100670,51,Self-Employed,17,Tier-1,85116,795786,Vehicle,36,15.73,1,599,0.779,0
LN100671,23,Salaried,12,Metro,82033,2784608,Personal,24,20.96,2,420,2.829,1
LN100672,27,Salaried,25,Rural,176742,2084419,Education,120,8.08,4,777,0.983,0
LN100673,53,Salaried,18,Tier-1,171635,3345642,Personal,36,20.45,2,492,1.624,0
LN100674,53,Salaried,7,Rural,110006,4970428,Vehicle,60,8.96,2,754,3.765,1
LN100675,28,Salaried,24,Tier-1,146122,4380886,Personal,24,18.53,3,623,2.498,0
LN100676,25,Self-Employed,24,Rural,88990,519858,Business,48,13.76,2,728,0.487,0
LN100677,39,Self-Employed,23,Tier-2,92148,1879720,Education,36,21.68,4,328,1.7,0
LN100678,42,Self-Employed,27,Metro,149282,4144592,Home,12,21.1,2,600,2.314,0
LN100679,25,Business Owner,12,Rural,28140,419087,Personal,12,11.19,1,747,1.241,0
LN100680,38,Self-Employed,28,Tier-1,92844,1924173,Vehicle,12,7.74,4,847,1.727,0
LN100681,60,Unemployed,10,Tier-1,147853,3785619,Home,48,8.51,1,759,2.134,0
LN100682,57,Salaried,26,Tier-1,197504,59920,Business,84,18.84,2,378,0.025,0
LN100683,33,Salaried,10,Tier-1,23006,2508210,Home,24,9.73,4,832,9.085,1
LN100684,44,Salaried,9,Tier-2,77292,3033442,Personal,12,10.26,1,674,3.271,0
LN100685,38,Salaried,19,Tier-1,105293,4072531,Vehicle,60,9.68,3,818,3.223,0
LN100686,47,Salaried,2,Tier-2,194853,2236966,Home,12,12.6,3,724,0.957,0
LN100687,30,Self-Employed,11,Tier-1,52583,3736980,Business,48,18.67,3,346,5.922,1
LN100688,51,Business Owner,1,Tier-1,80786,2041910,Vehicle,60,8.36,4,809,2.106,1
LN100689,25,Self-Employed,6,Tier-2,99871,2817137,Business,36,19.98,3,592,2.351,0
LN100690,57,Salaried,3,Metro,195529,4779604,Home,24,16.73,1,499,2.037,1
LN100691,45,Business Owner,8,Tier-2,189321,271509,Medical,12,15.06,4,365,0.12,1
LN100692,30,Salaried,24,Tier-2,43312,4519837,Business,120,7.47,2,862,8.696,0
LN100693,34,Self-Employed,7,Tier-2,70629,3484117,Vehicle,60,12.29,3,719,4.111,1
LN100694,45,Self-Employed,19,Tier-1,174528,546857,Home,12,16.97,3,365,0.261,1
LN100695,36,Self-Employed,27,Tier-1,125702,2036003,Education,120,19.29,1,480,1.35,0
LN100696,58,Self-Employed,7,Metro,56430,2863766,Medical,24,18.46,1,366,4.229,1
LN100697,39,Salaried,14,Tier-2,192869,208063,Medical,12,17.17,4,556,0.09,0
LN100698,33,Self-Employed,26,Rural,163296,608992,Education,120,10.54,4,741,0.311,1
LN100699,52,Business Owner,23,Metro,95477,3744998,Vehicle,84,19.21,2,554,3.269,0
LN100700,34,Salaried,2,Tier-1,126282,1442446,Home,12,18.89,4,454,0.952,1
LN100701,51,Salaried,27,Metro,93970,1135778,Home,84,15.15,2,354,1.007,0
LN100702,48,Self-Employed,17,Tier-2,24818,1526172,Personal,120,8.31,4,793,5.125,0
LN100703,47,Salaried,6,Metro,158348,3421896,Home,12,9.94,4,843,1.801,0
LN100704,38,Unemployed,2,Rural,137377,1777378,Personal,24,20.24,1,643,1.078,1
LN100705,47,Salaried,9,Tier-2,59446,3378379,Home,36,18.88,3,403,4.736,0
LN100706,33,Salaried,6,Metro,48734,2124320,Business,12,7.08,1,794,3.633,0
LN100707,21,Salaried,8,Metro,139929,769857,Home,84,7.21,1,793,0.458,0
LN100708,36,Salaried,8,Tier-1,69054,1636564,Business,24,15.0,3,518,1.975,0
LN100709,41,Unemployed,0,Tier-2,196847,4511960,Medical,84,16.75,2,421,1.91,1
LN100710,58,Salaried,2,Metro,169760,1504863,Personal,12,21.85,3,535,0.739,0
LN100711,32,Salaried,18,Metro,160962,906588,Vehicle,24,16.4,4,358,0.469,1
LN100712,35,Self-Employed,10,Metro,66437,3865515,Home,84,17.92,1,430,4.849,0
LN100713,31,Business Owner,26,Tier-2,123561,4905492,Vehicle,60,17.51,4,608,3.308,0
LN100714,28,Unemployed,23,Rural,194040,4359042,Education,24,7.6,0,833,1.872,0
LN100715,58,Business Owner,1,Tier-1,45360,3112096,Personal,60,12.96,3,685,5.717,0
LN100716,34,Salaried,23,Tier-2,63288,4815948,Personal,48,17.7,1,619,6.341,0
LN100717,56,Self-Employed,26,Tier-2,160952,1639090,Vehicle,120,13.09,2,737,0.849,0
LN100718,38,Salaried,17,Tier-1,193899,3204550,Vehicle,120,13.79,0,695,1.377,0
LN100719,24,Salaried,11,Tier-1,69646,2426657,Home,60,11.79,4,685,2.904,0
LN100720,36,Salaried,9,Metro,128101,1248306,Medical,48,8.89,0,807,0.812,0
LN100721,36,Salaried,29,Metro,150469,675114,Home,12,16.63,1,316,0.374,0
LN100722,36,Salaried,14,Tier-1,35842,2251356,Education,120,14.94,2,404,5.234,0
LN100723,25,Salaried,14,Metro,118959,3272050,Home,48,10.69,3,694,2.292,1
LN100724,29,Business Owner,25,Tier-1,125686,1314407,Education,84,21.3,1,335,0.871,1
LN100725,47,Salaried,7,Metro,113893,1041724,Home,48,7.4,2,897,0.762,0
LN100726,39,Salaried,9,Tier-2,139312,577585,Home,120,11.19,3,653,0.345,0
LN100727,31,Salaried,3,Tier-1,135423,1667824,Home,36,15.2,0,412,1.026,1
LN100728,59,Business Owner,13,Rural,84808,906204,Home,84,15.57,2,498,0.89,0
LN100729,45,Unemployed,25,Tier-1,94081,3602070,Medical,84,11.8,4,667,3.191,1
LN100730,43,Salaried,14,Tier-2,136555,711667,Business,36,7.93,3,797,0.434,0
LN100731,33,Salaried,26,Metro,143958,1820939,Vehicle,48,18.06,0,537,1.054,0
LN100732,23,Salaried,20,Tier-1,177121,3397786,Education,120,21.5,4,481,1.599,1
LN100733,48,Salaried,8,Metro,164245,2901925,Home,36,12.6,4,726,1.472,0
LN100734,44,Salaried,25,Tier-2,70871,4343980,Home,48,9.32,1,808,5.108,0
LN100735,57,Business Owner,5,Tier-1,132062,209810,Medical,120,16.07,4,588,0.132,0
LN100736,24,Self-Employed,15,Tier-2,38610,2519739,Medical,12,12.23,1,718,5.438,0
LN100737,25,Salaried,11,Tier-1,168072,1815722,Business,60,21.76,3,385,0.9,1
LN100738,22,Self-Employed,25,Rural,102641,4280767,Medical,84,21.85,3,374,3.476,1
LN100739,49,Salaried,23,Metro,45992,4452928,Business,36,11.59,2,664,8.068,0
LN100740,42,Unemployed,17,Rural,47829,3548247,Education,60,9.37,2,875,6.182,1
LN100741,41,Self-Employed,9,Tier-1,70352,4077133,Business,84,7.37,1,804,4.829,0
LN100742,47,Salaried,26,Tier-1,190545,2329287,Personal,36,9.82,4,859,1.019,0
LN100743,51,Self-Employed,12,Tier-2,199065,2397630,Education,48,7.47,1,891,1.004,1
LN100744,49,Unemployed,19,Rural,194255,4633420,Personal,12,11.67,3,671,1.988,1
LN100745,41,Salaried,8,Tier-1,157416,3448906,Home,36,15.36,0,629,1.826,0
LN100746,46,Salaried,12,Tier-1,82153,262745,Personal,48,13.46,2,711,0.267,0
LN100747,61,Salaried,25,Metro,183998,3814996,Business,84,14.63,2,585,1.728,1
LN100748,61,Business Owner,23,Tier-2,166140,929081,Business,120,18.89,2,631,0.466,0
LN100749,47,Salaried,21,Tier-2,107679,4566974,Education,12,9.07,4,827,3.534,1
LN100750,56,Salaried,28,Tier-1,28712,2585967,Medical,84,14.07,1,620,7.505,1
LN100751,41,Salaried,28,Metro,90335,1978815,Education,120,10.48,1,662,1.825,0
LN100752,45,Self-Employed,19,Tier-2,66275,3996539,Home,36,18.97,3,617,5.025,1
LN100753,32,Salaried,14,Tier-1,108825,2952008,Education,48,11.89,1,691,2.261,0
LN100754,34,Business Owner,24,Tier-2,142966,3230056,Business,36,7.64,1,887,1.883,0
LN100755,28,Salaried,5,Tier-1,63114,4047945,Vehicle,48,9.54,4,799,5.345,0
LN100756,56,Self-Employed,2,Metro,153848,2922780,Medical,120,17.5,2,340,1.583,0
LN100757,22,Self-Employed,15,Tier-1,172989,486063,Education,12,13.94,0,684,0.234,0
LN100758,63,Salaried,29,Metro,185802,1392854,Vehicle,36,10.73,4,698,0.625,1
LN100759,36,Salaried,9,Metro,100256,1244929,Personal,120,14.17,2,319,1.035,0
LN100760,47,Business Owner,15,Tier-2,79231,1640878,Business,36,18.5,1,610,1.726,0
LN100761,57,Salaried,8,Tier-1,164909,4218939,Education,12,21.31,3,583,2.132,0
LN100762,24,Salaried,11,Tier-1,168636,712987,Vehicle,12,11.93,2,730,0.352,0
LN100763,25,Salaried,1,Tier-1,77476,4544549,Personal,12,11.36,0,701,4.888,0
LN100764,34,Salaried,27,Tier-1,97383,2584722,Business,60,17.86,3,622,2.212,0
LN100765,23,Salaried,3,Rural,113758,167146,Education,120,20.5,4,615,0.122,0
LN100766,37,Business Owner,9,Tier-1,118316,2955698,Education,12,7.19,0,874,2.082,0
LN100767,38,Self-Employed,19,Tier-2,131323,3076088,Personal,12,19.32,2,532,1.952,0
LN100768,54,Salaried,2,Tier-1,146687,2707418,Vehicle,84,8.63,3,859,1.538,0
LN100769,53,Salaried,18,Tier-1,129070,4650584,Education,120,14.3,1,395,3.003,0
LN100770,35,Business Owner,4,Tier-1,195701,4747761,Vehicle,48,16.8,3,448,2.022,0
LN100771,30,Salaried,26,Rural,187307,1650579,Medical,36,16.25,2,473,0.734,0
LN100772,30,Salaried,13,Metro,47552,2143335,Home,48,12.17,3,733,3.756,1
LN100773,37,Salaried,5,Metro,44450,2410189,Home,84,7.74,3,777,4.519,0
LN100774,30,Business Owner,11,Tier-2,118030,2757024,Personal,120,14.2,0,415,1.947,0
LN100775,44,Salaried,5,Tier-2,142316,1573434,Home,84,8.29,0,772,0.921,0
LN100776,50,Self-Employed,21,Tier-2,62989,1587447,Medical,48,21.77,3,565,2.1,1
LN100777,32,Self-Employed,11,Tier-2,177701,4709682,Personal,12,14.52,0,572,2.209,1
LN100778,28,Salaried,4,Rural,30172,3511985,Medical,120,9.2,2,853,9.7,0
LN100779,64,Self-Employed,20,Tier-1,26610,1453314,Business,24,19.79,4,420,4.551,1
LN100780,25,Unemployed,2,Tier-1,166313,3638114,Business,84,10.25,0,701,1.823,1
LN100781,61,Self-Employed,16,Tier-2,15063,1285653,Business,36,20.79,3,396,7.113,1
LN100782,23,Self-Employed,11,Tier-1,171236,4618183,Medical,24,9.76,4,866,2.247,0
LN100783,57,Salaried,12,Tier-1,96669,3947690,Home,120,17.53,3,492,3.403,0
LN100784,51,Unemployed,4,Tier-2,96635,1027291,Business,84,18.53,3,339,0.886,1
LN100785,28,Business Owner,16,Metro,41644,4339428,Vehicle,48,19.25,4,430,8.684,1
LN100786,34,Salaried,0,Metro,143589,3692967,Medical,24,17.48,3,565,2.143,1
LN100787,54,Salaried,26,Tier-1,166279,761447,Medical,48,7.66,0,823,0.382,0
LN100788,30,Business Owner,21,Metro,84608,4498812,Home,48,21.8,0,637,4.431,0
LN100789,37,Salaried,5,Metro,111098,3299212,Education,36,8.49,1,834,2.475,0
LN100790,60,Salaried,26,Rural,119677,1620208,Medical,36,21.57,4,447,1.128,1
LN100791,54,Salaried,16,Metro,39647,4550109,Business,24,12.66,2,674,9.564,1
LN100792,28,Salaried,24,Metro,112932,3211337,Home,36,18.62,1,495,2.37,0
LN100793,41,Salaried,25,Tier-2,42745,3738652,Personal,84,14.78,2,395,7.289,0
LN100794,36,Salaried,23,Tier-1,182309,1681920,Business,84,14.03,4,345,0.769,1
LN100795,44,Salaried,21,Tier-1,167358,2668224,Medical,24,20.28,0,309,1.329,1
LN100796,39,Salaried,20,Tier-2,43196,1147702,Education,60,7.15,1,855,2.214,0
LN100797,56,Self-Employed,21,Metro,136769,2502357,Home,24,19.55,0,612,1.525,0
LN100798,62,Salaried,17,Tier-2,15486,3054746,Medical,36,20.21,1,466,16.438,1
LN100799,53,Salaried,26,Tier-1,171746,789268,Education,36,15.42,0,326,0.383,1
LN100800,25,Business Owner,27,Tier-1,70787,4177184,Home,120,17.55,0,423,4.918,1
LN100801,22,Salaried,9,Metro,107837,1848539,Business,36,18.2,3,434,1.428,0
LN100802,54,Salaried,8,Tier-1,67318,1762997,Personal,84,21.33,0,565,2.182,1
LN100803,38,Salaried,7,Metro,18116,1167247,Vehicle,12,9.92,0,761,5.369,0
LN100804,61,Self-Employed,18,Metro,151623,4206106,Business,120,19.18,4,458,2.312,1
LN100805,38,Self-Employed,6,Rural,127860,2040351,Personal,60,13.45,4,677,1.33,0
LN100806,56,Salaried,2,Metro,109284,2354061,Business,12,16.86,0,542,1.795,0
LN100807,23,Self-Employed,13,Rural,62113,1101169,Business,24,7.82,1,846,1.477,0
LN100808,41,Self-Employed,29,Metro,69417,4265726,Home,24,20.24,4,384,5.121,1
LN100809,42,Self-Employed,2,Metro,166411,292938,Education,36,19.34,1,466,0.147,0
LN100810,34,Salaried,7,Tier-2,176174,1353680,Personal,120,15.36,1,495,0.64,1
LN100811,28,Salaried,27,Metro,69330,3866059,Education,24,15.28,4,304,4.647,1
LN100812,34,Salaried,24,Metro,94641,1731545,Education,48,15.43,2,317,1.525,1
LN100813,29,Business Owner,21,Rural,24396,4984859,Personal,84,18.06,1,393,17.028,1
LN100814,57,Business Owner,28,Rural,128304,3678940,Education,48,8.2,1,842,2.389,0
LN100815,23,Salaried,12,Metro,83523,4453029,Home,60,18.02,1,609,4.443,0
LN100816,46,Business Owner,25,Rural,80734,2943112,Business,84,7.2,2,848,3.038,0
LN100817,43,Self-Employed,7,Tier-2,111013,456037,Education,120,16.65,3,382,0.342,0
LN100818,45,Business Owner,18,Metro,78764,4514137,Home,12,7.29,4,880,4.776,0
LN100819,63,Salaried,22,Tier-2,171736,3960465,Personal,12,19.9,0,333,1.922,1
LN100820,32,Unemployed,26,Metro,66639,2911185,Medical,36,21.05,4,481,3.64,1
LN100821,37,Salaried,12,Rural,109453,863702,Vehicle,60,15.71,2,357,0.658,1
LN100822,52,Business Owner,16,Tier-2,121978,2622116,Medical,60,8.16,2,804,1.791,0
LN100823,26,Salaried,7,Metro,47519,459331,Business,36,9.57,0,811,0.806,0
LN100824,39,Salaried,20,Metro,20241,1243976,Home,36,16.62,0,507,5.122,1
LN100825,33,Salaried,20,Rural,142505,2679390,Business,120,7.48,4,894,1.567,0
LN100826,55,Salaried,24,Metro,170287,3303518,Home,84,14.82,1,314,1.617,1
LN100827,42,Self-Employed,14,Tier-1,137778,4680430,Education,36,16.85,3,541,2.831,0
LN100828,34,Salaried,17,Metro,179052,1826720,Home,120,11.66,0,715,0.85,0
LN100829,35,Salaried,26,Tier-2,33542,626560,Business,36,21.82,2,473,1.557,0
LN100830,25,Business Owner,10,Metro,60159,1321333,Vehicle,48,17.11,2,487,1.83,0
LN100831,38,Salaried,22,Tier-2,172336,3275775,Business,24,18.44,4,484,1.584,0
LN100832,45,Business Owner,3,Metro,65545,4789409,Home,36,14.4,3,587,6.089,0
LN100833,32,Salaried,21,Tier-1,46295,427629,Vehicle,120,18.43,4,583,0.77,0
LN100834,22,Salaried,6,Rural,195707,1461353,Medical,12,19.11,2,492,0.622,1
LN100835,30,Salaried,8,Tier-1,105743,395964,Home,48,14.0,1,575,0.312,0
LN100836,26,Salaried,8,Tier-2,42892,4712538,Home,84,11.67,3,693,9.156,1
LN100837,54,Salaried,21,Metro,99543,3108214,Medical,12,13.1,4,744,2.602,1
LN100838,33,Salaried,28,Tier-1,28700,2181569,Vehicle,120,17.01,0,625,6.334,1
LN100839,56,Salaried,24,Metro,58865,4415950,Vehicle,60,20.66,4,342,6.252,1
LN100840,57,Unemployed,16,Metro,156089,2368236,Home,36,8.18,0,856,1.264,0
LN100841,41,Salaried,1,Tier-1,61042,1597579,Medical,84,16.36,2,648,2.181,0
LN100842,33,Business Owner,8,Metro,108490,1008770,Medical,60,20.43,1,519,0.775,0
LN100843,34,Unemployed,4,Metro,22335,4907627,Personal,12,15.84,0,563,18.311,0
LN100844,46,Salaried,5,Metro,60795,917022,Vehicle,84,17.61,4,560,1.257,1
LN100845,42,Self-Employed,0,Metro,64796,1286404,Business,12,19.23,1,544,1.654,1
LN100846,55,Salaried,25,Rural,187936,4956058,Education,36,10.31,0,687,2.198,0
LN100847,38,Salaried,20,Tier-2,148409,3895032,Business,60,11.51,3,675,2.187,0
LN100848,31,Self-Employed,27,Tier-2,129224,991845,Business,36,18.61,0,387,0.64,0
LN100849,31,Salaried,14,Tier-2,137419,668904,Home,36,9.15,0,841,0.406,0
LN100850,38,Self-Employed,19,Tier-2,51938,4136644,Home,84,17.13,4,424,6.637,1
LN100851,24,Salaried,28,Tier-1,152113,199410,Education,48,20.74,3,467,0.109,0
LN100852,43,Salaried,28,Tier-1,85427,835047,Personal,36,15.72,4,515,0.815,0
LN100853,26,Unemployed,20,Metro,121553,2785693,Home,84,21.95,0,512,1.91,1
LN100854,43,Salaried,10,Tier-1,79157,2856807,Home,60,18.57,1,514,3.008,1
LN100855,62,Salaried,18,Tier-2,43825,4699494,Education,60,15.15,1,572,8.936,1
LN100856,56,Self-Employed,19,Rural,163264,4201776,Home,12,7.85,4,844,2.145,1
LN100857,60,Self-Employed,27,Rural,178489,372641,Personal,120,20.87,2,598,0.174,1
LN100858,21,Salaried,22,Metro,114162,1077875,Personal,24,9.99,3,784,0.787,1
LN100859,46,Business Owner,6,Metro,143058,3722537,Education,120,20.4,1,552,2.168,0
LN100860,38,Salaried,25,Rural,25523,4405801,Business,12,21.63,2,361,14.385,1
LN100861,31,Salaried,26,Metro,177275,963539,Vehicle,60,15.96,0,324,0.453,1
LN100862,32,Business Owner,0,Metro,142365,167472,Personal,48,15.99,3,585,0.098,0
LN100863,39,Salaried,11,Tier-2,24203,545317,Education,84,19.53,3,463,1.878,0
LN100864,29,Salaried,2,Tier-2,188218,1684355,Home,24,8.28,2,763,0.746,0
LN100865,50,Business Owner,13,Tier-2,101831,1652178,Business,36,20.5,3,493,1.352,0
LN100866,54,Salaried,10,Tier-2,44728,3739545,Medical,120,21.15,3,336,6.967,1
LN100867,32,Self-Employed,20,Tier-2,156862,377489,Business,36,9.87,0,767,0.201,0
LN100868,41,Salaried,0,Metro,176782,3632774,Personal,36,13.5,3,673,1.712,0
LN100869,49,Salaried,10,Metro,92518,1594478,Home,36,20.72,2,475,1.436,1
LN100870,55,Salaried,13,Rural,49081,126909,Education,120,7.69,0,765,0.215,0
LN100871,42,Salaried,27,Tier-1,114305,3239607,Home,60,11.93,4,696,2.362,0
LN100872,44,Salaried,3,Tier-1,131374,2302395,Medical,60,13.08,2,715,1.46,0
LN100873,27,Self-Employed,26,Metro,36926,3014920,Personal,36,19.18,0,468,6.804,1
LN100874,50,Self-Employed,20,Metro,138033,700486,Business,12,9.19,2,774,0.423,1
LN100875,29,Business Owner,22,Metro,198005,2185865,Medical,24,17.48,3,393,0.92,0
LN100876,37,Business Owner,8,Tier-1,172071,3291717,Business,60,18.47,2,402,1.594,0
LN100877,32,Salaried,20,Tier-1,113349,3637376,Medical,36,14.53,1,626,2.674,0
LN100878,39,Business Owner,16,Metro,172908,2584728,Personal,12,8.96,1,857,1.246,0
LN100879,28,Salaried,23,Metro,20726,4184198,Medical,120,21.78,2,304,16.823,0
LN100880,40,Salaried,19,Metro,60239,774815,Vehicle,120,7.02,3,898,1.072,0
LN100881,55,Unemployed,14,Metro,59127,3298906,Business,60,18.05,2,457,4.649,1
LN100882,63,Business Owner,0,Metro,192265,4713352,Education,84,11.12,1,691,2.043,0
LN100883,24,Salaried,10,Tier-1,21222,4553403,Business,24,17.13,4,544,17.88,0
LN100884,50,Self-Employed,9,Tier-1,17012,3558194,Medical,12,15.91,3,645,17.43,0
LN100885,64,Salaried,1,Metro,115782,957111,Education,84,16.99,1,624,0.689,0
LN100886,42,Salaried,12,Metro,25084,1576135,Home,36,9.01,1,851,5.236,0
LN100887,48,Business Owner,1,Tier-1,199682,1625414,Vehicle,24,15.47,4,634,0.678,0
LN100888,56,Salaried,27,Tier-1,61648,4282064,Medical,120,11.65,1,665,5.788,0
LN100889,64,Business Owner,15,Tier-1,99992,2460199,Business,120,8.65,4,783,2.05,1
LN100890,52,Salaried,27,Tier-1,120349,2919358,Education,48,11.91,1,674,2.021,0
LN100891,43,Self-Employed,11,Tier-2,42308,3788086,Business,120,7.35,0,764,7.461,0
LN100892,42,Salaried,28,Tier-1,161047,3514423,Vehicle,120,20.67,1,406,1.819,0
LN100893,42,Self-Employed,3,Metro,195034,870769,Personal,84,18.93,0,329,0.372,1
LN100894,36,Salaried,10,Tier-1,70131,4049189,Home,84,18.79,0,302,4.811,0
LN100895,28,Unemployed,2,Metro,189310,1214415,Personal,24,14.8,0,627,0.535,0
LN100896,45,Unemployed,15,Metro,36536,1360277,Education,24,16.96,3,320,3.103,1
LN100897,21,Self-Employed,14,Tier-2,25255,4494850,Vehicle,84,10.69,1,715,14.832,0
LN100898,47,Salaried,9,Metro,138458,1670747,Personal,84,13.47,1,696,1.006,0
LN100899,41,Salaried,16,Tier-2,71600,2483546,Business,120,21.07,2,464,2.891,0
LN100900,30,Salaried,21,Metro,118336,4597052,Home,48,8.82,1,813,3.237,0
LN100901,61,Self-Employed,19,Tier-1,54134,3458119,Medical,120,20.57,4,465,5.323,0
LN100902,22,Self-Employed,23,Tier-1,162424,616047,Home,60,14.65,2,471,0.316,1
LN100903,33,Salaried,28,Tier-2,151959,1475741,Medical,84,13.17,4,675,0.809,0
LN100904,45,Salaried,20,Metro,151082,1931503,Personal,120,21.68,4,313,1.065,1
LN100905,29,Salaried,20,Tier-2,67038,4686588,Business,120,7.11,0,784,5.826,0
LN100906,49,Salaried,4,Tier-2,67251,1909406,Medical,12,16.82,3,336,2.366,1
LN100907,35,Salaried,11,Metro,108160,3980220,Personal,60,19.8,1,463,3.067,1
LN100908,55,Salaried,27,Tier-2,145973,1153037,Vehicle,24,19.39,2,320,0.658,0
LN100909,43,Salaried,29,Rural,98126,3811261,Home,120,8.05,4,896,3.237,1
LN100910,21,Salaried,8,Rural,147651,469334,Personal,120,19.35,2,347,0.265,1
LN100911,45,Self-Employed,27,Metro,87338,4342184,Vehicle,60,20.39,1,545,4.143,1
LN100912,23,Self-Employed,5,Metro,108887,1363230,Education,48,17.42,2,396,1.043,1
LN100913,51,Salaried,25,Rural,29587,155922,Education,48,7.35,0,829,0.439,0
LN100914,37,Business Owner,6,Tier-1,169777,3935127,Business,48,19.8,2,546,1.932,0
LN100915,36,Salaried,7,Tier-2,190697,4725648,Medical,84,15.52,1,310,2.065,0
LN100916,58,Salaried,2,Rural,37103,4098784,Home,60,15.17,0,390,9.206,1
LN100917,34,Salaried,22,Tier-1,67463,4302943,Home,36,20.3,0,474,5.315,1
LN100918,48,Salaried,21,Metro,165774,3638377,Education,84,19.27,2,600,1.829,0
LN100919,38,Unemployed,20,Rural,67421,4540761,Education,36,20.62,1,406,5.612,1
LN100920,57,Salaried,0,Metro,84189,4615242,Medical,24,14.09,2,565,4.568,1
